City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Ancud,CL,-41.87,-73.82,52.0,76,20,5.82,few clouds
210,Anadyr,RU,64.75,177.48,53.6,66,100,8.95,overcast clouds
211,Wakkanai,JP,45.41,141.67,62.76,72,60,5.21,broken clouds
212,Challapata,BO,-18.9,-66.77,58.03,28,27,24.45,scattered clouds
213,Saint-Philippe,RE,-21.36,55.77,68.0,60,29,8.05,scattered clouds
214,Swan Hill,AU,-35.34,143.55,45.19,93,79,11.54,light rain
215,Muzhi,RU,65.37,64.67,52.09,96,17,8.68,few clouds
216,Namatanai,PG,-3.67,152.43,79.43,80,0,6.78,clear sky
217,Micheweni,TZ,-4.97,39.83,76.3,78,45,11.97,scattered clouds
218,Husavik,IS,66.04,-17.34,55.4,54,40,16.11,scattered clouds
219,Yining,CN,29.04,114.56,75.18,90,77,0.94,broken clouds
220,Zima,RU,53.92,102.04,56.14,75,99,4.52,overcast clouds
221,Lingao,CN,19.91,109.69,78.71,85,100,7.43,overcast clouds
222,Raudeberg,NO,61.99,5.14,64.0,90,100,2.15,overcast clouds
223,Kobelyaky,UA,49.15,34.2,70.56,50,89,7.0,overcast clouds
224,Pochutla,MX,15.74,-96.47,91.0,55,40,9.17,scattered clouds
225,Kemin,KG,42.78,75.69,61.7,39,8,4.32,clear sky
226,Sal Rei,CV,16.18,-22.92,78.8,69,75,11.41,broken clouds
227,Longyearbyen,SJ,78.22,15.64,41.0,93,75,6.93,light rain
228,Leh,IN,34.17,77.58,58.32,50,81,5.23,broken clouds
229,Lebu,CL,-37.62,-73.65,52.83,74,0,20.09,clear sky
230,Saint George,US,37.1,-113.58,108.0,12,1,12.75,clear sky
231,Talcahuano,CL,-36.72,-73.12,68.0,45,0,9.17,clear sky
232,Shingu,JP,33.73,135.98,77.38,81,0,3.49,clear sky
233,Esperance,AU,-33.87,121.9,44.6,100,40,5.82,scattered clouds
234,Boguchany,RU,58.38,97.45,54.84,76,4,2.73,clear sky
235,Santa Maria,BR,-29.68,-53.81,51.8,37,40,9.17,scattered clouds
236,La Palma,US,33.85,-118.05,99.0,44,1,6.93,clear sky
237,Rosamorada,MX,22.12,-105.21,89.82,62,100,7.63,overcast clouds
238,Awjilah,LY,29.11,21.29,83.12,46,0,15.35,clear sky
239,Amahai,ID,-3.33,128.92,74.75,87,12,2.28,few clouds
240,Tyret Pervaya,RU,53.67,102.31,55.83,74,100,4.21,overcast clouds
241,Santiago,CL,-33.46,-70.65,73.4,12,0,4.09,clear sky
242,Houma,US,29.6,-90.72,87.01,61,75,16.11,broken clouds
243,Mar Del Plata,AR,-38.0,-57.56,55.4,28,0,14.99,clear sky
244,Porto Santo,PT,33.07,-16.34,75.2,83,40,8.05,scattered clouds
245,Caxito,AO,-8.58,13.66,71.6,88,20,6.93,few clouds
246,Tougue,GN,11.47,-11.6,68.63,97,100,6.42,light rain
247,Veraval,IN,20.9,70.37,81.3,87,100,12.66,light rain
248,Faya,SA,18.39,42.45,69.8,77,78,2.13,broken clouds
249,Sumbe,AO,-11.21,13.84,69.85,88,46,6.04,scattered clouds
250,Gondar,ET,12.6,37.47,58.39,92,98,4.65,light rain
251,Zhongshan,CN,21.32,110.58,79.81,88,100,10.36,overcast clouds
252,Westport,US,41.14,-73.36,78.01,47,1,11.41,clear sky
253,Luderitz,NA,-26.65,15.16,60.93,32,0,16.04,clear sky
254,Tulum,MX,20.22,-87.47,91.4,63,40,8.05,scattered clouds
255,Letychiv,UA,49.38,27.63,63.32,90,46,7.52,scattered clouds
256,Balabac,PH,7.99,117.06,82.2,77,95,6.38,overcast clouds
257,Virpur,IN,23.18,73.48,76.03,96,100,4.27,overcast clouds
258,Puerto Escondido,MX,15.85,-97.07,86.0,62,40,9.17,scattered clouds
259,San Ramon,US,37.78,-121.98,93.99,19,1,9.17,haze
260,Tual,ID,-5.67,132.75,79.2,81,13,11.77,few clouds
261,Tias,ES,28.96,-13.64,75.2,78,0,10.29,clear sky
262,Susanville,US,40.42,-120.65,88.0,10,1,3.36,haze
263,Asau,RO,46.43,26.4,62.01,94,2,4.85,clear sky
264,Dakar,SN,14.69,-17.44,84.2,79,20,6.93,thunderstorm
265,Inirida,CO,3.87,-67.92,87.53,66,15,0.25,light rain
266,Fianarantsoa,MG,-21.43,47.08,56.55,90,96,5.28,overcast clouds
267,Taltal,CL,-25.4,-70.48,60.3,56,20,6.31,few clouds
268,Khatanga,RU,71.97,102.5,41.88,71,0,11.3,clear sky
269,Ostersund,SE,63.18,14.64,62.6,67,0,6.93,clear sky
270,Amarpatan,IN,24.32,80.98,76.6,92,92,14.27,light rain
271,Dinajpur,BD,25.63,88.64,77.14,92,100,13.58,light rain
272,Bosaso,SO,11.28,49.18,91.96,47,3,16.11,clear sky
273,Bengkulu,ID,-3.8,102.27,76.05,82,92,4.9,overcast clouds
274,Kenai,US,60.55,-151.26,66.2,72,1,4.7,clear sky
275,Mehamn,NO,71.04,27.85,50.0,87,0,1.12,clear sky
276,Smestad,NO,59.93,10.67,64.0,93,100,1.99,overcast clouds
277,Soyo,AO,-6.13,12.37,72.36,85,46,8.19,scattered clouds
278,Araruna,BR,-6.56,-35.74,72.03,81,87,10.67,overcast clouds
279,Manica,FR,49.0,-1.17,71.6,78,81,5.82,broken clouds
280,Lapi,PH,17.72,121.9,75.07,85,99,4.12,light rain
281,Kununurra,AU,-15.77,128.73,68.0,38,36,4.03,scattered clouds
282,Itarema,BR,-2.92,-39.92,78.46,74,51,14.83,broken clouds
283,Constitucion,CL,-35.33,-72.42,56.21,56,0,4.59,clear sky
284,Hobyo,SO,5.35,48.53,76.05,83,93,21.32,overcast clouds
285,Yerkoy,TR,39.64,34.47,67.46,55,42,3.18,scattered clouds
286,Le Port,RE,-20.94,55.29,68.0,64,75,9.17,broken clouds
287,Finschhafen,PG,-6.6,147.87,78.8,78,96,5.59,overcast clouds
288,West Wendover,US,40.74,-114.07,96.8,15,1,10.29,clear sky
289,Butterworth,MY,5.4,100.36,82.4,88,20,3.36,few clouds
290,Kharitonovo,RU,61.4,47.5,50.83,79,88,5.35,overcast clouds
291,Koumac,NC,-20.57,164.28,70.54,67,0,1.41,clear sky
292,Stornoway,GB,58.21,-6.39,61.0,82,100,8.05,light rain
293,Muroto,JP,33.28,134.15,82.89,74,0,4.23,clear sky
294,Kariba,ZW,-16.52,28.8,71.11,57,0,6.2,clear sky
295,Bousso,TD,10.48,16.71,73.08,88,97,0.74,overcast clouds
296,Lumut,MY,4.23,100.63,78.8,94,20,3.4,few clouds
297,Kropotkin,RU,45.44,40.58,74.75,35,76,9.31,broken clouds
298,Guerrero Negro,MX,27.98,-114.06,90.46,39,0,12.1,clear sky
299,Hervey Bay,AU,-25.3,152.85,57.0,66,97,6.89,overcast clouds
300,Vestmannaeyjar,IS,63.44,-20.27,50.31,77,99,12.19,overcast clouds
301,Mutsu,JP,41.29,141.22,66.2,93,75,13.87,light intensity drizzle rain
302,Ulkan,RU,57.24,107.32,52.75,86,11,3.04,few clouds
303,Ahipara,NZ,-35.17,173.17,58.44,82,14,14.81,light rain
304,Dingle,PH,11.0,122.67,75.0,89,100,2.77,overcast clouds
305,Avera,US,33.19,-82.53,82.4,88,75,6.93,light rain
306,Bonavista,CA,48.65,-53.11,71.01,69,1,14.0,clear sky
307,Chute-Aux-Outardes,CA,49.12,-68.4,71.6,37,75,12.75,broken clouds
308,Zambezi,ZM,-13.54,23.1,70.12,24,30,8.72,scattered clouds
309,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,55.54,37,0,6.55,clear sky
310,Dunedin,NZ,-45.87,170.5,48.0,92,100,4.0,light rain
311,Suicheng,CN,33.9,117.93,69.76,96,100,9.51,moderate rain
312,Chapais,CA,49.78,-74.85,66.2,52,75,11.41,broken clouds
313,Los Llanos De Aridane,ES,28.66,-17.92,73.99,88,0,9.17,clear sky
314,Hanmer Springs,NZ,-42.52,172.82,50.14,71,86,5.93,overcast clouds
315,Zhigansk,RU,66.77,123.37,39.47,77,80,16.84,broken clouds
316,Coihaique,CL,-45.58,-72.07,55.4,84,89,9.17,overcast clouds
317,Boulsa,BF,12.67,-0.58,79.54,75,35,5.82,light rain
318,Coracora,PE,-15.03,-73.78,59.36,34,89,10.71,overcast clouds
319,Lima,PE,-12.04,-77.03,62.6,72,90,8.05,overcast clouds
320,Aswan,EG,24.09,32.91,90.54,20,0,10.0,clear sky
321,Clyde River,CA,70.47,-68.59,48.2,81,75,11.41,broken clouds
322,Kroonstad,ZA,-27.65,27.23,43.66,47,0,5.88,clear sky
323,Coquimbo,CL,-29.95,-71.34,55.4,76,20,10.29,few clouds
324,Naze,JP,28.37,129.48,77.0,94,14,1.12,mist
325,La Sarre,CA,48.8,-79.2,56.01,92,100,4.7,overcast clouds
326,Nouakchott,MR,18.09,-15.98,82.4,78,65,12.75,broken clouds
327,Oksfjord,NO,70.24,22.35,48.99,81,75,2.24,broken clouds
328,Kalmunai,LK,7.42,81.82,79.07,81,100,6.11,overcast clouds
329,Huarmey,PE,-10.07,-78.15,66.27,68,15,11.68,few clouds
330,Dinghai,CN,26.28,119.79,82.4,83,40,8.95,scattered clouds
331,Novoilinsk,RU,51.68,108.71,54.5,89,82,1.79,broken clouds
332,Malakal,SS,9.53,31.66,73.81,89,7,1.14,clear sky
333,Adrar,MR,20.5,-10.07,95.9,28,75,7.56,broken clouds
334,Jaguarao,BR,-32.57,-53.38,45.46,64,65,9.33,broken clouds
335,Port-Gentil,GA,-0.72,8.78,77.0,73,75,11.61,broken clouds
336,Yueyang,CN,29.33,113.09,75.63,95,96,7.25,moderate rain
337,Maldonado,UY,-34.67,-54.92,48.2,68,20,14.99,few clouds
338,Tilichiki,RU,60.47,166.1,47.64,99,100,6.98,moderate rain
339,Ayr,GB,55.46,-4.63,61.0,87,75,10.29,broken clouds
340,Atikokan,CA,48.76,-91.62,73.69,64,96,3.29,overcast clouds
341,Caucaia,BR,-3.74,-38.65,80.6,74,24,10.29,few clouds
342,Ilulissat,GL,69.22,-51.1,48.2,57,20,3.36,few clouds
343,Araure,VE,9.56,-69.21,73.4,88,19,10.29,few clouds
344,Acapulco,MX,16.86,-99.89,86.0,74,75,3.36,broken clouds
345,Kaeo,NZ,-35.1,173.78,57.0,3,0,8.01,clear sky
346,Vila,PT,42.03,-8.16,57.99,83,6,7.0,clear sky
