City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
421,Kavaratti,IN,82.36,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
425,Tarakan,ID,79.57,few clouds,3.3,117.63,Hotel D' CaLia Tarakan
426,Elmina,GH,75.15,overcast clouds,5.09,-1.35,Esteem Kofi and Adjoa Guesthouse
429,Kavarna,BG,68.0,broken clouds,43.43,28.33,Thracian Cliffs Golf & Beach Resort
430,Minusio,CH,73.4,few clouds,46.18,8.81,Hotel la Palma au Lac
431,Porto Torres,IT,80.6,clear sky,40.84,8.4,Hotel Elisa
434,Vao,NC,71.92,scattered clouds,-22.67,167.48,Hotel Kou-Bugny
436,Jining,CN,73.0,overcast clouds,35.41,116.58,Yunhe Star Hotel
437,The Valley,AI,87.8,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
439,Abonnema,NG,78.8,broken clouds,4.71,6.79,Corper's Lodge Obonoma
440,Newnan,US,84.2,clear sky,33.38,-84.8,La Quinta Inn & Suites by Wyndham Atlanta South - Newnan
442,Kahului,US,87.8,broken clouds,20.89,-156.47,Maui Seaside Hotel
443,Bathsheba,BB,82.4,broken clouds,13.22,-59.52,Atlantis Hotel
444,Mwense,ZM,77.07,broken clouds,-10.38,28.7,GrandPalm Lodge
445,Burns Lake,CA,65.41,light rain,54.23,-125.75,Burns Lake Bed and Breakfast
447,Santona,ES,71.6,light rain,43.44,-3.46,Playamar
448,Flin Flon,CA,80.6,broken clouds,54.77,-101.86,Victoria Inn Flin Flon
449,Carutapera,BR,80.13,clear sky,-1.2,-46.02,Lidera
450,Oranjestad,AW,86.0,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
451,Cody,US,82.4,clear sky,44.53,-109.06,Buffalo Bill (Cabins) Village
455,Mangrol,IN,81.19,moderate rain,21.12,70.12,Hotel The Royal Honours
457,Rosario Oeste,BR,80.76,broken clouds,-14.84,-56.43,ARLS Cavaleiros da Fraternidade n°67
458,Lorengau,PG,82.45,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
459,Zhanaozen,KZ,77.77,clear sky,43.3,52.8,K.korabay 28A
462,Radcliff,US,86.0,clear sky,37.84,-85.95,Super 8 by Wyndham Radcliff Ft. Knox Area
463,Ambon,ID,77.5,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
466,Grand Gaube,MU,72.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
467,Buraydah,SA,89.6,clear sky,26.33,43.98,Mövenpick Hotel Qassim
468,San Jose,US,89.01,smoke,37.34,-121.89,The Westin San Jose
471,Tirodi,IN,76.73,moderate rain,21.68,79.7,Sameer Ali
472,Bom Jesus,BR,86.83,broken clouds,-9.07,-44.36,Hotel Brasão & Floricultura Bella Flor
474,Akdepe,TM,75.2,clear sky,42.06,59.38,Мой дом
477,Cockburn Town,TC,87.8,scattered clouds,21.46,-71.14,Osprey Beach Hotel
478,Nakhon Ratchasima,TH,74.34,light rain,14.97,102.1,The Imperial Hotel and Convention Centre Korat
480,Alpinopolis,BR,71.56,broken clouds,-20.86,-46.39,Hotel Ventania
481,Olinda,BR,78.8,shower rain,-8.01,-34.86,Hotel 5 Sóis
484,Hambantota,LK,79.63,overcast clouds,6.12,81.12,Bungalow 63
487,Hede,CN,77.11,scattered clouds,33.77,120.25,Vienna 3 Best Hotel Sheyang Jiefang Rd
488,Bekhteyevka,RU,66.2,clear sky,50.81,37.21,Dubravushka
489,Coruripe,BR,74.91,overcast clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
491,Poum,NC,71.29,clear sky,-20.23,164.02,Gîte kajeon
492,Hami,CN,75.29,scattered clouds,42.8,93.45,Laoyutang Resort
494,Nortelandia,BR,81.41,overcast clouds,-14.45,-56.8,Hotel Karysmã
496,Safaga,EG,89.6,clear sky,26.73,33.94,Lamar Resort Abu Soma
501,Anloga,GH,75.2,few clouds,5.79,0.9,Dey Lodge
508,Champerico,GT,89.6,thunderstorm,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
509,Rawang,MY,80.6,few clouds,3.32,101.58,Hotel Pristine
510,Biloxi,US,86.0,clear sky,30.4,-88.89,Golden Nugget Biloxi Hotel & Casino
511,Umm Lajj,SA,88.66,clear sky,25.02,37.27,Moon light Furnished Units
513,Saint Anthony,US,84.0,broken clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
519,Pocone,BR,67.15,overcast clouds,-16.26,-56.62,Hotel e Churrascaria Pantaneira
521,Belmonte,BR,77.0,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
522,Ajaccio,FR,75.2,clear sky,42.0,8.92,Sole E Monte
524,Hirara,JP,84.61,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
526,Luanda,AO,71.6,few clouds,-8.84,13.23,EPIC SANA Luanda
527,Nagato,JP,78.8,few clouds,34.38,131.2,いそう庵
528,Urumqi,CN,71.6,overcast clouds,43.8,87.6,Hua Ling Grand Hotel Urumqi
529,Itamaraju,BR,71.02,few clouds,-17.04,-39.53,Hotel Vista Bela
530,Gidam,IN,73.36,moderate rain,18.98,81.4,Dhanshree Lodge And DormItory
531,Bogale,MM,77.43,overcast clouds,16.28,95.4,Aung Pin Lel Guest House
533,Huanta,PE,75.2,scattered clouds,-12.93,-74.25,GRAN HOTEL IMPERIAL
538,Hwange,ZW,70.59,overcast clouds,-18.37,26.5,Hwange Colliery Guest House
539,Gemena,CD,71.4,light rain,3.25,19.77,Hôtel Goshen
542,Manokwari,ID,78.48,light rain,-0.87,134.08,Swiss Belhotel Manokwari
543,Simpang,ID,74.01,broken clouds,-1.27,104.08,Sk 7 rt 1 dusun 3 rantau makmur berbak
544,Bontang,ID,77.32,overcast clouds,0.13,117.5,Okra Leaf Guest House Syariah
545,Half Moon Bay,US,87.01,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
546,San Juan De La Maguana,DO,82.9,light rain,18.81,-71.23,Hotel Maguana
547,Davila,PH,80.83,light rain,18.47,120.58,SITIO 3 DAVILA PASUQUIN
549,Kandrian,PG,75.99,overcast clouds,-6.22,149.55,Kandrian Station
550,Pangkalanbuun,ID,72.93,broken clouds,-2.68,111.62,Grand Kecubung Hotel
551,Colares,PT,70.0,scattered clouds,38.8,-9.45,Arribas Sintra Hotel
555,Stege,DK,69.01,broken clouds,54.99,12.28,Præstekilde Hotel
556,Argostolion,GR,75.54,clear sky,38.18,20.49,Princess Hotel
557,Finale Ligure,IT,77.0,clear sky,44.17,8.34,Hotel San Giuseppe
559,Salalah,OM,78.8,overcast clouds,17.02,54.09,HAMDAN PLAZA HOTEL
561,Marsa Matruh,EG,77.0,scattered clouds,31.35,27.25,Beau Site
562,Biak,ID,75.36,broken clouds,-0.91,122.88,Kost Ariz
564,Surt,LY,80.01,clear sky,31.21,16.59,City Hotel
566,Sambava,MG,71.49,light rain,-14.27,50.17,Melrose
567,Quesnel,CA,68.0,scattered clouds,53.0,-122.5,Ramada Limited Quesnel
568,Mizdah,LY,77.63,clear sky,31.45,12.98,محمدالمبروك الاريقط
569,Najran,SA,86.0,few clouds,17.49,44.13,محمد هادي ال فطيح
570,Moerai,PF,70.14,broken clouds,-22.43,-151.33,Le Manotel
571,Mahajanga,MG,72.68,broken clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
573,Diffa,NE,81.73,light rain,13.32,12.61,ProDAF/Diffa
575,Halifax,CA,78.01,clear sky,44.65,-63.57,Hotel Halifax
578,Fez,MA,82.4,scattered clouds,34.04,-5.0,Hotel Mounia Fès
579,Puerto Colombia,CO,82.4,light rain,10.99,-74.95,Hotel El Emigrante
581,North Bend,US,80.01,clear sky,43.41,-124.22,Red Lion Hotel Coos Bay
582,Muros,ES,66.0,scattered clouds,42.78,-9.06,Apartment Av. Castelao
583,Bud,US,79.0,clear sky,39.45,-86.18,Madsion Scouts Camp
584,Guiratinga,BR,87.71,broken clouds,-16.35,-53.76,Hotel Angra do Cerrado - Guiratinga MT
585,Riyadh,SA,89.6,clear sky,24.69,46.72,InterContinental Riyadh
586,Dzaoudzi,YT,73.4,clear sky,-12.79,45.27,Le Rocher
587,Ugoofaaru,MV,82.92,overcast clouds,5.67,73.0,Ungoofaaru Inn
588,Qui Nhon,VN,76.8,overcast clouds,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
590,Palmer,US,81.0,scattered clouds,42.16,-72.33,Wedgewood Motel
591,Pisco,PE,68.0,overcast clouds,-13.7,-76.22,Hostal San Isidro Oficial
594,Centralia,US,78.01,clear sky,46.72,-122.95,Peppermill Inn
595,Dryden,CA,71.6,clear sky,49.78,-92.75,Holiday Inn Express Dryden
597,Grand Island,US,89.6,clear sky,40.92,-98.34,Fairfield Inn & Suites by Marriott Grand Island
601,Locri,IT,78.01,clear sky,38.24,16.26,Grand Hotel President
602,Pointe Michel,DM,84.2,light intensity shower rain,15.25,-61.38,Castle Comfort Lodge Dive Dominica
604,Ambovombe,MG,66.34,overcast clouds,-25.17,46.08,MONJA Talilisoa
605,San Policarpo,PH,77.86,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
606,Tingo Maria,PE,69.8,overcast clouds,-9.29,-76.01,Hospedaje Paraíso
607,Santa Rosa,PH,78.8,overcast clouds,14.31,121.11,Amethyst Econotel
608,Havelock,US,82.99,light rain,34.88,-76.9,Sherwood Motel
609,Sorong,ID,77.23,light rain,-0.88,131.25,The Waigo Hotel
611,Acarau,BR,78.94,scattered clouds,-2.89,-40.12,castelo pizzaria
613,Puri,IN,80.6,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
614,Lahaina,US,87.8,light intensity drizzle,20.88,-156.68,Lahaina Shores Beach Resort
615,Aden,YE,86.67,clear sky,12.78,45.04,Sama Emirate Hotel
617,Nishihara,JP,84.2,few clouds,26.18,127.76,Minshuku Agaihama
618,Balkhash,KZ,69.15,overcast clouds,46.84,74.98,Family
620,Honiara,SB,75.2,few clouds,-9.43,159.95,Heritage Park Hotel
621,Gunjur,GM,78.8,broken clouds,13.2,-16.73,Kuba Lodge
622,Pau Dos Ferros,BR,84.7,few clouds,-6.11,-38.21,Hertz Center Hotel
624,Basco,PH,83.5,moderate rain,20.45,121.97,Nathaniel's Lodge
625,Mayo,US,84.99,light rain,38.89,-76.51,Resorts Resource Group International
626,Roald,NO,66.0,overcast clouds,62.58,6.13,Flem Cabins
627,Fare,PF,78.03,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
630,Cururupu,BR,78.48,broken clouds,-1.83,-44.87,Pousada Través'cia
631,Huilong,CN,81.0,broken clouds,31.81,121.66,Hilton Garden Inn Qidong
