City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,East London,ZA,2020-08-18 21:40:39,-33.02,27.91,55.13,62,89,32.06
181,Lochgilphead,GB,2020-08-18 21:40:39,56.04,-5.43,59.0,93,75,4.7
182,Vestmannaeyjar,IS,2020-08-18 21:40:39,63.44,-20.27,52.41,88,56,20.24
183,Saldanha,ZA,2020-08-18 21:40:39,-33.01,17.94,52.41,70,95,5.93
184,Diglur,IN,2020-08-18 21:40:40,18.55,77.6,74.71,90,100,9.22
185,Kidal,ML,2020-08-18 21:40:40,18.44,1.41,97.74,18,5,13.89
186,Dubuque,US,2020-08-18 21:40:40,42.48,-90.87,78.01,44,1,9.17
187,Nanortalik,GL,2020-08-18 21:40:41,60.14,-45.24,50.77,64,0,5.75
188,Port Lincoln,AU,2020-08-18 21:36:54,-34.73,135.87,52.79,71,62,23.38
189,Santa Barbara,US,2020-08-18 21:36:50,34.42,-119.7,100.99,54,1,9.17
190,Arraial Do Cabo,BR,2020-08-18 21:36:37,-22.97,-42.03,75.2,83,99,13.87
191,Avera,US,2020-08-18 21:40:41,33.19,-82.53,87.01,45,90,4.7
192,Pokrovsk,UA,2020-08-18 21:37:46,48.28,37.18,69.3,52,0,4.5
193,Ribeira Grande,PT,2020-08-18 21:36:10,38.52,-28.7,75.2,94,75,26.4
194,Cidreira,BR,2020-08-18 21:40:42,-30.18,-50.21,62.02,96,100,13.8
195,Virginia Beach,US,2020-08-18 21:36:10,36.85,-75.98,87.01,54,1,8.05
196,Hualmay,PE,2020-08-18 21:40:43,-11.1,-77.61,63.61,72,12,12.93
197,Shelburne,CA,2020-08-18 21:40:43,44.08,-80.2,68.0,56,40,9.17
198,Nouakchott,MR,2020-08-18 21:40:43,18.09,-15.98,82.4,78,40,16.11
199,Muriti,TZ,2020-08-18 21:40:43,-1.98,32.92,74.07,75,50,12.73
200,Nemuro,JP,2020-08-18 21:40:25,43.32,145.57,63.03,92,90,15.55
201,Kelo,TD,2020-08-18 21:40:44,9.31,15.81,73.29,93,100,5.19
202,Tinskoy,RU,2020-08-18 21:40:44,56.15,96.92,55.17,93,23,1.97
203,Bara,NG,2020-08-18 21:40:44,10.37,10.73,76.78,86,100,4.79
204,Pacific Grove,US,2020-08-18 21:40:45,36.62,-121.92,91.99,56,90,5.82
205,Changping,CN,2020-08-18 21:40:45,40.22,116.22,78.01,66,100,7.0
206,Elliot Lake,CA,2020-08-18 21:40:45,46.38,-82.63,68.0,45,40,11.41
207,Zyryanka,RU,2020-08-18 21:40:45,65.75,150.85,54.1,62,62,5.23
208,Westport,US,2020-08-18 21:36:06,41.14,-73.36,84.0,51,75,14.99
209,Kismayo,SO,2020-08-18 21:40:45,-0.36,42.55,77.41,81,92,14.81
210,Yellandu,IN,2020-08-18 21:40:46,17.6,80.33,74.89,93,100,6.02
211,Menongue,AO,2020-08-18 21:40:46,-14.66,17.69,56.21,34,3,4.38
212,Vincennes,FR,2020-08-18 21:40:46,48.85,2.43,73.4,53,20,1.12
213,Codrington,AU,2020-08-18 21:36:20,-38.27,141.97,47.35,95,100,4.63
214,Ponta Do Sol,PT,2020-08-18 21:40:47,32.67,-17.1,73.4,73,20,3.36
215,Kirakira,SB,2020-08-18 21:40:47,-10.45,161.92,82.11,79,70,7.87
216,Ahuimanu,US,2020-08-18 21:40:47,21.44,-157.84,86.0,58,40,13.87
217,Clermont,FR,2020-08-18 21:40:47,49.5,2.42,69.8,68,0,2.24
218,Dikson,RU,2020-08-18 21:40:48,73.51,80.55,52.79,71,1,5.75
219,Kodiak,US,2020-08-18 21:40:48,57.79,-152.41,59.0,77,40,9.17
220,Anadyr,RU,2020-08-18 21:40:48,64.75,177.48,53.6,76,75,2.24
221,Sitka,US,2020-08-18 21:40:48,57.05,-135.33,60.8,72,75,8.05
222,Karratha,AU,2020-08-18 21:37:19,-20.74,116.85,64.08,39,63,13.76
223,Anaconda,US,2020-08-18 21:40:49,46.13,-112.94,86.0,20,20,8.05
224,Ilulissat,GL,2020-08-18 21:40:49,69.22,-51.1,55.4,37,94,3.36
225,Manoel Urbano,BR,2020-08-18 21:40:49,-8.84,-69.26,91.24,46,47,3.02
226,Jibuti,DJ,2020-08-18 21:40:50,11.5,42.5,98.6,27,75,2.57
227,Kunming,CN,2020-08-18 21:40:50,25.04,102.72,59.0,100,90,8.95
228,Namibe,AO,2020-08-18 21:40:50,-15.2,12.15,61.57,79,82,2.98
229,Olafsvik,IS,2020-08-18 21:36:19,64.89,-23.71,52.81,84,50,10.94
230,Batagay-Alyta,RU,2020-08-18 21:40:50,67.8,130.41,45.0,86,100,11.23
231,Healdsburg,US,2020-08-18 21:36:06,38.61,-122.87,105.01,31,40,9.17
232,Axim,GH,2020-08-18 21:37:08,4.87,-2.24,75.11,88,39,9.4
233,Sioni,GE,2020-08-18 21:40:51,41.99,45.02,69.8,60,20,2.24
234,Port Keats,AU,2020-08-18 21:40:51,-14.25,129.55,73.78,92,1,3.51
235,Makakilo City,US,2020-08-18 21:37:53,21.35,-158.09,87.8,45,20,10.29
236,Ketchikan,US,2020-08-18 21:40:52,55.34,-131.65,60.8,77,75,16.11
237,Portland,US,2020-08-18 21:39:49,45.52,-122.68,84.99,50,20,6.93
238,Goderich,CA,2020-08-18 21:40:52,43.75,-81.72,70.0,70,0,13.0
239,Lebu,CL,2020-08-18 21:40:52,-37.62,-73.65,48.18,74,64,11.56
240,Gordeyevka,RU,2020-08-18 21:40:53,52.96,31.97,65.68,83,100,7.34
241,Lompoc,US,2020-08-18 21:40:53,34.64,-120.46,80.6,54,1,13.87
242,Havoysund,NO,2020-08-18 21:40:53,71.0,24.66,48.2,87,75,5.82
243,Esperance,AU,2020-08-18 21:40:54,-33.87,121.9,46.4,100,75,12.75
244,Kawalu,ID,2020-08-18 21:40:54,-7.38,108.21,68.74,93,68,2.1
245,Saskylakh,RU,2020-08-18 21:40:54,71.92,114.08,43.16,83,100,12.59
246,Totness,SR,2020-08-18 21:40:54,5.88,-56.32,79.43,88,32,10.96
247,Basoko,CD,2020-08-18 21:37:12,1.24,23.62,75.29,78,100,1.54
248,Fairbanks,US,2020-08-18 21:40:01,64.84,-147.72,70.0,37,1,3.36
249,Sobolevo,RU,2020-08-18 21:40:55,54.43,31.9,60.26,79,100,8.39
250,Lukovetskiy,RU,2020-08-18 21:40:55,64.3,41.92,41.0,93,0,2.24
251,Benito Juarez,MX,2020-08-18 21:40:56,19.39,-99.17,75.2,36,40,6.93
252,Qena,EG,2020-08-18 21:40:56,26.16,32.72,88.0,23,0,9.19
253,Mezen,RU,2020-08-18 21:40:56,65.85,44.24,42.13,92,10,6.24
254,Quatre Cocos,MU,2020-08-18 21:40:56,-20.21,57.76,72.0,73,40,11.41
255,Cherskiy,RU,2020-08-18 21:36:23,68.75,161.3,43.34,88,99,7.99
256,Karabash,RU,2020-08-18 21:40:57,55.48,60.22,45.45,87,100,17.13
257,Katubao,PH,2020-08-18 21:40:57,5.89,124.83,79.52,70,88,2.77
258,Kahului,US,2020-08-18 21:40:57,20.89,-156.47,89.6,49,40,19.46
259,Yar-Sale,RU,2020-08-18 21:40:58,66.83,70.83,55.42,81,95,12.1
260,Erzin,TR,2020-08-18 21:40:58,36.96,36.2,81.0,81,0,1.72
261,Lasa,IT,2020-08-18 21:40:58,46.62,10.7,55.4,93,75,3.36
262,Muros,ES,2020-08-18 21:40:58,42.78,-9.06,69.01,90,100,13.0
263,Hamilton,US,2020-08-18 21:40:11,39.18,-84.53,68.0,88,75,7.99
264,Los Llanos De Aridane,ES,2020-08-18 21:40:59,28.66,-17.92,73.4,83,0,12.75
265,Mareeba,AU,2020-08-18 21:40:59,-17.0,145.43,60.01,96,60,7.0
266,Broken Hill,AU,2020-08-18 21:40:59,-31.95,141.43,51.8,62,1,20.8
267,Tuatapere,NZ,2020-08-18 21:41:00,-46.13,167.68,50.67,76,100,6.82
268,Shimoda,JP,2020-08-18 21:41:00,34.67,138.95,75.0,94,76,7.54
269,Petatlan,MX,2020-08-18 21:41:00,17.52,-101.27,89.6,62,40,10.29
270,Soltsy,RU,2020-08-18 21:41:00,58.12,30.32,54.28,81,36,3.04
271,Nikolayevsk-Na-Amure,RU,2020-08-18 21:41:01,53.14,140.73,53.92,92,100,7.96
272,Kieta,PG,2020-08-18 21:41:01,-6.22,155.63,82.27,71,72,4.21
273,Talnakh,RU,2020-08-18 21:41:01,69.49,88.4,55.4,58,1,6.71
274,Hirara,JP,2020-08-18 21:41:01,24.8,125.28,84.27,76,13,7.14
275,Waynesboro,US,2020-08-18 21:36:16,38.07,-78.89,80.01,83,90,8.05
276,Broome,US,2020-08-18 21:41:02,42.25,-75.83,77.0,43,75,8.05
277,Ryotsu,JP,2020-08-18 21:41:02,38.08,138.43,69.8,94,69,1.12
278,San Patricio,MX,2020-08-18 21:41:02,19.22,-104.7,78.8,83,75,11.41
279,Poum,NC,2020-08-18 21:41:02,-20.23,164.02,69.42,68,16,10.2
280,Alexandria,EG,2020-08-18 21:38:37,31.22,29.96,79.0,66,0,14.34
281,Buala,SB,2020-08-18 21:41:03,-8.14,159.59,83.01,73,100,4.07
282,Laguna,US,2020-08-18 21:41:03,38.42,-121.42,106.0,22,1,5.82
283,Newcastle,AU,2020-08-18 21:36:17,-32.93,151.78,55.99,93,0,1.12
284,Meadow Lake,US,2020-08-18 21:41:04,34.8,-106.54,95.0,14,1,4.7
285,Malumfashi,NG,2020-08-18 21:41:04,11.79,7.62,71.58,90,4,8.12
286,Thessalon,CA,2020-08-18 21:41:04,46.25,-83.57,66.2,52,40,3.36
287,Kaoma,ZM,2020-08-18 21:41:04,-14.78,24.8,63.14,30,0,2.77
288,Pithapuram,IN,2020-08-18 21:41:05,17.12,82.27,78.48,87,100,7.36
289,Yangjiang,CN,2020-08-18 21:41:05,21.85,111.97,77.0,87,100,9.42
290,Richards Bay,ZA,2020-08-18 21:41:06,-28.78,32.04,60.28,50,77,7.36
291,Waycross,US,2020-08-18 21:41:06,31.21,-82.35,93.2,74,90,11.41
292,Sagua La Grande,CU,2020-08-18 21:41:06,22.81,-80.08,91.4,59,75,9.17
293,Ornskoldsvik,SE,2020-08-18 21:41:06,63.29,18.72,60.8,93,18,4.7
294,Kars,TR,2020-08-18 21:41:07,40.6,43.09,57.2,76,40,6.93
295,Umm Kaddadah,SD,2020-08-18 21:41:07,13.6,26.69,82.04,59,99,4.54
296,Keti Bandar,PK,2020-08-18 21:41:07,24.14,67.45,84.18,79,100,14.41
297,Corinto,GR,2020-08-18 21:41:08,37.94,22.96,79.0,57,0,1.01
298,Zaranj,AF,2020-08-18 21:41:03,30.97,61.88,84.2,25,0,35.57
299,Alofi,NU,2020-08-18 21:39:15,-19.06,-169.92,75.2,94,75,14.99
300,Kampene,CD,2020-08-18 21:41:08,-3.6,26.67,74.82,65,22,2.24
301,Mount Isa,AU,2020-08-18 21:41:08,-20.73,139.5,51.8,50,2,4.7
